videos subidos,titulo,direccion,publicado
42,El arte en la Europa de Cervantes y Shakespeare (II). José Alipio Morejón,https://www.youtube.com/watch?v=bXXs67jTprw,2017-01-04 10:48:02
43,"Los Duques Aragones del Quijote. Política, cultura y mecenzago en el siglo XVI. José Alipio Morejón",https://www.youtube.com/watch?v=yCGYly4X8o4,2017-01-05 12:43:47
44,Cervantes y la mitología griega. Eva Tobalina,https://www.youtube.com/watch?v=3nPRJUk611I,2017-01-05 17:21:21
45,Cervantes: la filosofía que subyace tras el gran genio de las letras y el Quijote. Guillermo Navarro,https://www.youtube.com/watch?v=szVeLyDuO88,2017-01-10 15:15:23
46,Macbeth. Shakespeare y el teatro en la Inglaterra de Isabel I. Gabriel Insausti,https://www.youtube.com/watch?v=HFVIXEGrbyw,2017-01-18 15:14:21
47,EL IMPERIO PERSA. La apasionante historia del primer imperio mundial. Eva Tobalina,https://www.youtube.com/watch?v=r0iqgEKUbDE,2017-01-26 16:35:10
48,Obras capitales del arte europeo (II). Cómo ver una obra de arte. José Alipio Morejón,https://www.youtube.com/watch?v=PG8CGNivQz0,2017-02-07 11:13:02
49,Alejandro Magno y el Imperio Persa. Eva Tobalina,https://www.youtube.com/watch?v=8omLPAfPt60,2017-02-16 16:12:05
50,El Barroco del sur de Andalucía (I). Jorge Latorre,https://www.youtube.com/watch?v=K1K9PEkdOtw,2017-02-23 16:42:17
51,"El Imperio Romano y Germania. Tréveris, la Roma del Norte. Eva Tobalina",https://www.youtube.com/watch?v=s7gmEc12pOA,2017-03-23 17:38:42
52,Escocia. Una aproximación a su apasionante historia y cultura. Jorge Latorre,https://www.youtube.com/watch?v=-o3W34-IqZU,2017-04-05 15:33:31
53,Obras capitales del arte europeo (3). Tras una obra de arte hay muchas más. José Alipio Morejón,https://www.youtube.com/watch?v=x4wscIFo04g,2017-05-15 16:35:45
54,"Persépolis, la capital de los persas Aqueménidas, y Naqs-e-Rostan, la gran necrópolis. Eva Tobalina",https://www.youtube.com/watch?v=Yo8MAtQ5TEM,2017-06-14 10:22:42
55,Isfahán y el sueño de la Persia Safávida. Eva Tobalina,https://www.youtube.com/watch?v=H7wfE50afGQ,2017-06-14 14:27:33
56,El escultor Jorge Oteiza: vida y obra de un genio poliédrico. Gabriel Insausti,https://www.youtube.com/watch?v=t5scr2h2bIM,2017-07-09 17:39:34
57,La Batalla de Vitoria. Eva Tobalina,https://www.youtube.com/watch?v=AhZ0Kc_Mvfw,2017-07-09 17:56:12
58,Tierra Santa en tiempos de Jesús. Contexto histórico y cultural. Francisco Varo,https://www.youtube.com/watch?v=LuTXNkCi5aA,2017-08-11 13:36:13
59,El Santo Sepulcro de Jerusalén. Acercamiento histórico y arqueológico. Francisco Varo,https://www.youtube.com/watch?v=TLTinbK_rpI,2017-08-14 13:44:05
60,Flandes y su extraordinaria importancia en la historia y creación artística europea. Jorge Latorre,https://www.youtube.com/watch?v=sNKRO5wnztY,2017-08-19 16:08:18
61,"El políptico de San Bavón en Gante o del Cordero Místico, maravilla del arte. José Alipio Morejón",https://www.youtube.com/watch?v=QXyIyO3vlg0,2017-08-21 13:54:58
62,El nacimiento de la imprenta: el invento que revolucionó el mundo. Jorge Latorre,https://www.youtube.com/watch?v=BWd2vHn7puQ,2017-09-11 16:10:55
63,Obras maestras de los Museos de Escocia. José Alipio Morejón,https://www.youtube.com/watch?v=xrFzQuDxoV0,2017-09-12 11:38:18
64,Arte Contemporáneo. Los museos de Málaga (I). Jorge Latorre,https://www.youtube.com/watch?v=WS3kMgwfPLs,2017-09-13 07:00:03
65,Angkor Wat. La extraordinaria ciudad perdida. Eva Tobalina,https://www.youtube.com/watch?v=NzijEzVUMhU,2017-09-15 07:00:01
66,"Europa: logros, crisis, dudas y retos. Ricardo Martín de la Guardia, catedrático Hª Contemporánea",https://www.youtube.com/watch?v=VuXPYsWI89E,2017-10-16 08:10:31
67,Integración de los eslavos y magiares en la Europa Medieval. Anna Dulska,https://www.youtube.com/watch?v=oFaQMYC0db0,2017-10-17 16:13:52
68,La cultura como primer motor del desarrollo de los pueblos. Jorge Latorre,https://www.youtube.com/watch?v=oSXTzpyZEC4,2017-10-19 17:52:25
69,"El Imperio Romano: modelo de integración, crecimiento y seguridad. Eva Tobalina",https://www.youtube.com/watch?v=3_nhdhhF9c0,2017-10-23 14:26:53
70,"Desafíos futuros para el empleo, el crecimiento y la competitividad en la Unión. Íñigo González",https://www.youtube.com/watch?v=YmPYZv9P9wQ,2017-10-24 12:50:19
71,Europa vista desde el mundo árabe. Europe seen from the Arab world. Nour Mostafa Elsaey,https://www.youtube.com/watch?v=YlCzYD_ovtg,2017-10-25 14:40:15
72,La Unión Europea: integración y defensa común. Gabino Regalado,https://www.youtube.com/watch?v=be__ELyWmXA,2017-10-25 16:54:40
73,La Europa de Lutero. Ana Zabalza,https://www.youtube.com/watch?v=d9nVX5FYSz8,2018-01-04 09:23:16
74,Roma y las invasiones germánicas. Eva Tobalina,https://www.youtube.com/watch?v=2HhAhyKGGCs,2018-03-12 10:33:15
75,El emperador Federico II Hohenstaufen y la lucha entre el Imperio y el Papado. Julia Pavón,https://www.youtube.com/watch?v=MYWOaWt_Wr8,2018-03-12 10:39:05
76,El Imperio Germánico y la dinastía Otónida. Julia Pavón,https://www.youtube.com/watch?v=2tr2jYjrz2E,2018-03-12 10:42:34
77,Macedonia del Norte: de la romanización al esplendor bizantino. Eva Tobalina,https://www.youtube.com/watch?v=ZbX62eDPg-4,2018-04-11 15:24:27
78,Teresa de Calcuta: historia y legado de una albanesa universal. Millán Viñas,https://www.youtube.com/watch?v=GGBSYyTYuP0,2018-04-12 14:09:16
79,Chipre: de la conquista otomana a la actualidad. Eva Tobalina,https://www.youtube.com/watch?v=LVa5g061CRk,2018-04-26 16:19:43
80,Chipre y la mitología griega. AFRODITA Y PIGMALIÓN. Eva Tobalina,https://www.youtube.com/watch?v=a90L6MqcFjM,2018-04-27 08:57:09
81,"Chipre y su apasionante historia: las huellas de Egipto, Asiria, Grecia y Roma. Eva Tobalina",https://www.youtube.com/watch?v=S1LF_zXXbu0,2018-04-27 11:53:03
82,El convento de San Marcos de Florencia y los geniales ciclos de Fra Angelico. José Alipio Morejón,https://www.youtube.com/watch?v=S7rtBG-v3QM,2018-04-27 17:41:02
83,Integración europea y servicio diplomático de la Unión Europea. Alberto Priego,https://www.youtube.com/watch?v=iGo3sXuIsvM,2018-05-14 10:53:23
84,"Lutero. Vida, pensamiento y contexto histórico, político y religioso (I). Bosco Amores",https://www.youtube.com/watch?v=0DyVyEw5d50,2018-05-15 10:18:30
85,Lutero. Pensamiento y contexto político - religioso (II). Bosco Amores,https://www.youtube.com/watch?v=z5VcdiBAxXE,2018-05-15 11:10:00
86,Nacionalismo económico. Consecuencias para el crecimiento y el empleo en la UE. Ángel de los Ríos,https://www.youtube.com/watch?v=bP6K7NPGMZs,2018-05-17 09:20:45
87,Las Cruzadas (I). Jaime Aznar,https://www.youtube.com/watch?v=C434Oxkd2Tc,2018-05-25 15:28:50
88,La Defenestración de Praga. Momentos clave de la Guerra de los 30 años. Hugo Huidobro,https://www.youtube.com/watch?v=d9GB2-JmibA,2018-06-04 15:20:06
89,"Reforma protestante, arte e iconoclastia. Jorge Latorre",https://www.youtube.com/watch?v=ejOqyuj8bfw,2018-06-04 15:26:47
90,La Italia del Sur: el esplendor del Barroco. Historia y arte. José Alipio Morejón,https://www.youtube.com/watch?v=cLO0rU71vAo,2018-10-26 16:24:45
91,De Nápoles a Calabria: historia y arte durante la Edad Media y el Renacimiento. José Alipio Morejón,https://www.youtube.com/watch?v=R7eKrhiTCrY,2018-10-29 10:52:51
92,Caravaggio: genio y creación en su etapa napolitana. José Alipio Morejón,https://www.youtube.com/watch?v=fGPHYvFOoIQ,2018-10-29 11:28:34
93,Nápoles: poder y belleza en la capital mediterránea de la Monarquía Hispánica. Hugo Huidobro,https://www.youtube.com/watch?v=ll7koplxJLU,2018-10-31 18:48:24
94,"La Magna Grecia en el sur de la península Itálica. Riaze, Paestum y otras maravillas. Eva Tobalina",https://www.youtube.com/watch?v=SR7XjBkYwpg,2018-11-07 17:11:59
95,El Golfo de Nápoles durante la antigüedad grecorromana. Historia y arqueología. Eva Tobalina,https://www.youtube.com/watch?v=AAaVHgVOMek,2018-11-07 17:41:31
96,Piero della Francesca y los frescos de Arezzo: maravilla del Renacimiento. José Alpio Morejón,https://www.youtube.com/watch?v=zinYM2MDteI,2019-01-14 16:13:19
97,El Norte Occidental de África antes de Roma. Eva Tobalina,https://www.youtube.com/watch?v=pQfKjuqziBw,2019-01-17 16:09:30
98,"La Romanización del Norte de África, especialmente de Marruecos. Eva Tobalina.",https://www.youtube.com/watch?v=0Q2l6oVFHew,2019-01-24 17:39:01
99,"Los Fenicios: origen, desarrollo y apogeo de una civilización fascinante. Eva Tobalina",https://www.youtube.com/watch?v=Nyv9iQFw298,2019-01-29 09:47:30
100,El Norte Occidental de África: del cristianismo al islam. José Alipio Morejón,https://www.youtube.com/watch?v=0pYBrcNDIkw,2019-01-29 19:19:18
101,El Imperio Almorávide en la época del Cid. Jorge Latorre,https://www.youtube.com/watch?v=q6tYcDZAl7c,2019-02-05 11:34:11
102,Líbano y el Cristianismo Maronita. Eduardo Torres,https://www.youtube.com/watch?v=6CS4-qarbIw,2019-03-11 09:09:45
103,Claves para entender la Polonia actual. Ernest Kowalczyk,https://www.youtube.com/watch?v=tgV5WaUhVvw,2019-05-09 10:56:55
104,Egipto faraónico. Momificación. Momias de animales. Gato del Museo Bíblico de León.,https://www.youtube.com/watch?v=oUNqV4CaGYc,2020-04-03 16:52:16
105,Egipto faraónico. Momificación. Momias de animales. Halcón del Museo Bíblico de León.,https://www.youtube.com/watch?v=PhiNcAZkhRY,2020-04-03 16:53:29
106,Egipto faraónico. Momificación. Momias de animales. Oxirrinco del Museo Bíblico de León.,https://www.youtube.com/watch?v=dcelJbFTjMc,2020-04-03 16:54:18
107,Egipto faraónico. Momificación. Momias de animales. Tilapias del Museo Bíblico de León.,https://www.youtube.com/watch?v=inr8Nc4hOcc,2020-04-03 16:55:28
108,Egipto faraónico. Momificación. Momias de animales. Cocodrilo del Museo Bíblico de Tarragona.,https://www.youtube.com/watch?v=3RpKaCuhIpY,2020-04-03 16:58:49
109,"La Pasión de Cristo vista por Giotto, Leonardo, Miguel Ángel y Velázquez. José Alipio Morejón",https://www.youtube.com/watch?v=dziguPVE9UM,2020-04-05 16:11:17
110,"""La Trinidad"" de Rublev: maravilla del Arte Bizantino. José Alipio Morejón",https://www.youtube.com/watch?v=QIdHeoCGHzY,2020-04-18 10:18:13
111,"""A Tribute"", con palabras de Martin Scorsese en reconocimiento a Krzysztof Zanussi. Janek Ambros",https://www.youtube.com/watch?v=JFL1Q3DlhAk,2020-04-19 11:12:41
112,La Sainte Chapelle de París. Maravilla del arte. José Alipio Morejón,https://www.youtube.com/watch?v=_5F8JhUbI5I,2020-04-21 11:27:54
113,Los pueblos eslavos. Historia y trascendencia de una civilización fascinante. José Alipio Morejón,https://www.youtube.com/watch?v=G-o7irfUfI8,2020-04-27 11:56:27
114,Bielorrusia. Aproximación a la historia y cultura de la Rusia Blanca. José Alipio Morejón,https://www.youtube.com/watch?v=LeXF_n-8E1o,2020-04-28 09:47:07
115,Petra y los Nabateos. Eva Tobalina,https://www.youtube.com/watch?v=JaeqZPIaTEM,2020-04-30 08:30:25
116,"Arte, artista y creación. Reflexiones del pintor y escultor Antonio López",https://www.youtube.com/watch?v=DeZu6gXAdCU,2020-05-05 08:30:11
117,Tierra Santa. La geografía que conoció y vivió Jesús de Nazaret. Francisco Castro,https://www.youtube.com/watch?v=0-EZH4oHDqM,2020-05-05 10:26:39
118,El extraordinario viaje de Fray Pascual de Vitoria hasta las tierras del actual Afganistán.,https://www.youtube.com/watch?v=jQY49bZxFMM,2020-05-05 11:15:25
119,"El Pórtico de la Gloria de Santiago de Compostela, por Hugo García",https://www.youtube.com/watch?v=NZB0BhUyBwk,2020-05-05 16:22:49
120,El Mundo Copto. Celia Ropero,https://www.youtube.com/watch?v=-h6t8bYz4lE,2020-05-05 16:45:27
121,El Sinaí y el Monasterio de Santa Catalina. Maria Luz Mangado,https://www.youtube.com/watch?v=oMrZyguqFrw,2020-05-07 17:02:01
122,"Abraham, José y Moisés. Figuras claves del mundo bíblico y de la cultura. Mari Luz Mangado",https://www.youtube.com/watch?v=5xGUoeqbYD8,2020-05-07 17:56:36
123,Israel: historia reciente y actualidad. Romualdo Bermejo,https://www.youtube.com/watch?v=9dMgCluv-Es,2020-05-11 16:49:15
124,Pompeya y Herculano a comienzos del siglo XX. Eva Tobalina,https://www.youtube.com/watch?v=j0aD4Qcyx9U,2020-05-14 09:02:11
125,Expedición de Magallanes y Elcano. 500 años de la primera circunnavegación del mundo. Bosco Amores,https://www.youtube.com/watch?v=rb8hogGAI30,2020-05-14 17:05:22
126,Palestina y Norte de Egipto: descubrimientos arqueológicos. Mari Luz Mangado,https://www.youtube.com/watch?v=QQjkgPOxvfA,2020-05-19 10:57:01
127,"Jerusalén. La ciudad tres veces santa: historia, significado y actualidad. Francisco Barrado",https://www.youtube.com/watch?v=n5Vc6mhPsw8,2020-05-25 09:51:32
128,"Jerusalén. La ciudad tres veces santa: historia, significado y actualidad. Francisco Barrado",https://www.youtube.com/watch?v=n5Vc6mhPsw8,2020-05-25 09:51:32
129,Uta de Namburgo: una de las más bellas e impactantes esculturas del arte europeo,https://www.youtube.com/watch?v=z3jSC1zVW9Q,2020-05-27 19:15:35
130,Uta de Namburgo: una de las más bellas e impactantes esculturas del arte europeo,https://www.youtube.com/watch?v=z3jSC1zVW9Q,2020-05-27 19:15:35
131,Oriente y Tierra Santa. Peregrinaciones-expediciones desde Vitoria a finales del XIX (II),https://www.youtube.com/watch?v=MPOcdRGn5ic,2020-06-01 11:47:28
132,Oriente y Tierra Santa. Peregrinaciones-expediciones desde Vitoria a finales del XIX (II),https://www.youtube.com/watch?v=MPOcdRGn5ic,2020-06-01 11:47:28
133,Las peregrinaciones-expediciones a Tierra Santa promovidas desde Vitoria a principios del siglo XX,https://www.youtube.com/watch?v=fg0KAuvSU-s,2020-06-01 16:05:00
134,Las peregrinaciones-expediciones a Tierra Santa promovidas desde Vitoria a principios del siglo XX,https://www.youtube.com/watch?v=fg0KAuvSU-s,2020-06-01 16:05:00
135,La imagen del orante en la Antigüedad. Mari Luz Mangado,https://www.youtube.com/watch?v=v4GKH8COj1w,2020-06-01 17:48:45
136,La imagen del orante en la Antigüedad. Mari Luz Mangado,https://www.youtube.com/watch?v=v4GKH8COj1w,2020-06-01 17:48:45
137,Cristianismo ortodoxo e iglesias orientales. Doctrina y ritos litúrgicos. José Alipio Morejón,https://www.youtube.com/watch?v=Ue8dcEbexcI,2020-06-17 09:05:47
138,Cristianismo ortodoxo e iglesias orientales. Doctrina y ritos litúrgicos. José Alipio Morejón,https://www.youtube.com/watch?v=Ue8dcEbexcI,2020-06-17 09:05:47
139,De Constantinopla a Estambul. La gran capital de principios del siglo XX. Aitor Fernández,https://www.youtube.com/watch?v=ZmWvYjDoa3w,2020-06-17 11:48:25
